NN,l1,RF,XGBoost,true
0.2599220275878906,0.2672206915438512,0.23142232917351574,0.20038526,1
0.10370805859565735,0.1374393940273126,0.1752174391433116,0.1901622,0
0.12610366940498352,0.1330572368129451,0.16124137716778938,0.17459463,0
0.15311124920845032,0.20967728822548767,0.1737381300400796,0.17368166,0
0.9642972946166992,0.6522057315678227,0.5978658238990046,0.5636055,1
0.30835622549057007,0.23961173959132942,0.20355885835037332,0.2464244,1
0.4125787317752838,0.3009562338797076,0.28458470742037323,0.23933151,0
0.2499854862689972,0.18654391009300184,0.19033566302159172,0.2078987,0
0.19720304012298584,0.20906041535196826,0.16010330368611403,0.19079545,1
0.17946338653564453,0.21522298146088914,0.21823978706389793,0.23950349,1
0.13473671674728394,0.12367826533606331,0.11265605537867973,0.16407214,0
0.3788803219795227,0.2953970949508834,0.3380889329442701,0.31773064,0
0.2347716987133026,0.22039193828456555,0.29567974192181795,0.28408912,0
0.32555216550827026,0.2795183204757666,0.22815309201094888,0.21899654,1
0.36998099088668823,0.3248982159481424,0.3173512083607315,0.31016114,0
0.3603711724281311,0.3248982159481424,0.3173512083607315,0.31016114,0
0.22732841968536377,0.1833854331231537,0.2226703909327906,0.22608475,0
0.14816340804100037,0.13797766849535464,0.13423663982200273,0.15986809,0
0.2187974750995636,0.22071131400258015,0.28129522290349673,0.25051716,1
0.18152031302452087,0.21836511385662855,0.2045076006256773,0.23579195,1
0.3930041790008545,0.3567794441131097,0.3567856201868711,0.39481804,0
0.14187300205230713,0.1278476254876922,0.10840933182839244,0.14282139,0
0.13720807433128357,0.1278476254876922,0.10840933182839244,0.14282139,0
0.31897464394569397,0.24886794256554814,0.22794794075637884,0.26333517,1
0.4819662868976593,0.39620793218078293,0.3771928502971546,0.38350314,1
0.49555376172065735,0.3423989768647802,0.27123265469133484,0.31988654,1
0.3468129634857178,0.25482788872178075,0.25924546832552464,0.2885394,0
0.3564220070838928,0.2800633945363462,0.23158128760960944,0.20418037,0
0.34407952427864075,0.25824556864504883,0.24355756272566761,0.28905597,0
0.1599714159965515,0.13460569334432324,0.14651164160252247,0.19154976,0
0.18353307247161865,0.13342137590001996,0.1175656493801488,0.1481509,0
0.18353307247161865,0.13342137590001996,0.1175656493801488,0.1481509,0
0.2554504871368408,0.1886084759225261,0.18265804029172167,0.1922218,0
0.2380458116531372,0.21045500879818657,0.20077827554869537,0.2701009,0
0.24914368987083435,0.22708952978535005,0.17512707940177705,0.18853298,0
0.2078380584716797,0.17477713376188594,0.1777637877747023,0.21435352,0
0.14105886220932007,0.14551194154292255,0.1576868219456355,0.15717027,0
0.22745639085769653,0.18665234174786266,0.18867281800071906,0.20687048,0
0.5073241591453552,0.44800720858354054,0.5365121136345491,0.5377238,1
0.24061372876167297,0.22142026487169536,0.17850445704797388,0.2071596,0
0.17265227437019348,0.22863156004703653,0.18600947069108442,0.22601946,0
0.18408992886543274,0.1989295050497479,0.27028784348654117,0.27241904,0
0.19168826937675476,0.18288533246182512,0.21998420313752898,0.26779214,0
0.26239603757858276,0.2402612724302392,0.3635810079628212,0.31573305,0
0.17715215682983398,0.16775004679438008,0.16291756391735684,0.17516345,0
